,zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std,clip
0,0.090657895,0.008173961,3.070725332,0.18730113,0.218953857,0.68974577,0.003640605,0.106987296,-25.29912872,1.281952737,0.083227593,0.060918871,-0.515214194,-0.501234288,-0.312767538,-0.108743982,0.194376986,-0.014751315,-0.18057366,0.307896787,-0.025450416,0.013426483,0.005737221,0.013793553,0.009674301,0.012112936,0.015226056,0.014819647,0.00183618,0.011750123,0.015172759,0.016774992,0.015949075,0.010547946,8.62E-05,0.000146654,0.017342147,-0.001260676,-0.000962966,-0.005822212,3.92E-05,-0.000580762,0.112368919,-0.00349132,0.002076278,0.008721966,0.001322192,-0.005232325,-0.008211749,0.001542369,0.000581415,0.004268408,-0.002803077,0.002174375,-0.001416128,-7.58E-05,-8.41E-05,0.000279121,2.85E-05,-0.000130092,-0.000137559,-0.000110908,1.81E-07,8.52E-05,-4.01E-05,8.71E-05,0.000166241,7.06E-05,0.02063307,0.007640279,0.232547743,0.01536054,0.020298082,0.24265214,0.001397874,0.033541893,0.814056669,0.459779597,0.342746471,0.273550442,0.23041086,0.243977478,0.194249943,0.177058906,0.215018058,0.19364508,0.213790776,0.178539259,0.183979186,0.008893606,0.003882706,0.010234909,0.008242157,0.010005763,0.014348206,0.012429558,0.001460075,0.010293405,0.012564061,0.011342697,0.012172316,0.004644763,0.021042531,0.005876131,0.285968831,0.016110676,0.018930424,0.256082607,0.001585943,0.032487981,0.653606748,0.408639162,0.352709075,0.333709128,0.25383856,0.296806056,0.279821136,0.231517662,0.276143611,0.246019839,0.259363496,0.247402225,0.262936186,0.012426321,0.005275627,0.012855537,0.010495512,0.014449362,0.02039207,0.01740196,0.00201588,0.014798747,0.016761021,0.015592156,0.015654287,0.006166566,split_data\greypartridge\Perdix-perdix-112777_chunk_0.wav
1,0.075526316,0.017806308,3.056013806,0.186081067,0.228306427,0.517908663,0.004041732,0.086125227,-24.03971556,1.716961582,0.120709134,-0.022079801,-0.558080631,-0.633625828,-0.286701361,0.046997139,0.022916034,0.145815648,0.015177584,0.152629771,-0.060264859,0.012036092,0.005571207,0.013157605,0.010015702,0.01542199,0.018652349,0.01651719,0.001697802,0.011581803,0.028517075,0.026376565,0.020336975,0.015730882,-5.90E-05,6.92E-05,-0.00288087,-4.94E-05,9.04E-05,-0.001548192,1.51E-05,-0.000199637,-0.003133867,-0.000466655,0.002329395,-0.007629046,-0.002162375,-0.003312507,0.004557717,0.00192089,-0.000320729,0.004767718,0.004357068,-0.003639601,-0.001654593,-5.76E-05,-7.08E-05,-0.000202701,-1.76E-05,-0.000138053,-5.92E-05,-4.50E-05,-2.30E-05,0.000136384,0.00083946,9.61E-05,-2.92E-05,0.000175099,0.018077465,0.016825354,0.173670501,0.014617269,0.019466191,0.177026562,0.002242596,0.033382826,0.461316217,0.363275194,0.297803378,0.236233953,0.187647034,0.209806863,0.165140829,0.182222576,0.167504612,0.180365415,0.212062841,0.185502248,0.166684202,0.008623526,0.00457126,0.009009876,0.008369227,0.011774251,0.017350219,0.011293382,0.001495076,0.011063157,0.019885727,0.018276994,0.018918108,0.006577611,0.019249594,0.01321585,0.249810993,0.015191441,0.015443484,0.219938029,0.002504039,0.037493139,0.388464601,0.30003857,0.273596414,0.256678143,0.211530151,0.236915755,0.194876984,0.261431354,0.211155241,0.256698919,0.256276752,0.250804349,0.231459141,0.012670469,0.006687659,0.011219473,0.011182905,0.016281052,0.023350727,0.014183799,0.002079099,0.016764828,0.027648627,0.0246471,0.025868085,0.009478348,split_data\greypartridge\Perdix-perdix-112777_chunk_1.wav
2,0.092608893,0.011171857,3.118539254,0.182017513,0.21078017,0.751967477,0.004395624,0.120807623,-24.91789804,0.977384965,0.343710075,0.01081937,-0.597551241,-0.517047285,-0.266472757,0.002104583,0.016768358,0.013516472,0.054744907,0.183528843,-0.040049669,0.008861398,0.006073823,0.010218127,0.009627762,0.010767299,0.013366746,0.021426515,0.001870837,0.011050963,0.017392353,0.015226029,0.011284439,0.01145362,0.000136116,-7.42E-05,0.002139018,0.000497586,0.000357747,0.001855151,4.08E-05,0.000163339,-0.014144959,0.004863905,0.004522949,-0.001004501,0.002559618,0.004090658,-0.001268354,0.001378138,0.000476976,0.000507271,-0.005916514,0.002629549,0.008879602,1.20E-05,5.54E-05,-1.50E-05,0.000116058,5.56E-05,0.000779736,0.000349003,-1.70E-06,1.45E-05,-0.000415442,-0.000447392,-0.000274593,4.55E-07,0.02277735,0.012667332,0.125062258,0.020012737,0.02743294,0.282239217,0.002505485,0.03099182,0.673772189,0.498005274,0.303713088,0.276611952,0.292075612,0.219926687,0.230301216,0.201282216,0.1862308,0.186108756,0.23583843,0.204869671,0.225775025,0.006066354,0.005679435,0.007171816,0.009570756,0.008922781,0.011412634,0.017925302,0.001688857,0.010055472,0.016209129,0.014918215,0.009738447,0.006794944,0.02262389,0.012553375,0.151434741,0.018114528,0.022903673,0.266259772,0.002708962,0.031465132,0.461049897,0.404045012,0.389184883,0.259283534,0.262666051,0.236472162,0.28492064,0.249059589,0.233744047,0.219657851,0.263528864,0.298717641,0.328220528,0.007595565,0.008347255,0.00925973,0.014285832,0.011098414,0.016315955,0.02618162,0.002392065,0.013371263,0.016786034,0.018731404,0.012036435,0.008056471,split_data\greypartridge\Perdix-perdix-112777_chunk_2.wav
3,0.101102541,0.011087869,3.08446042,0.178821191,0.199289296,0.883037232,0.003927309,0.137495463,-24.78493517,0.631157168,0.278079672,-0.055683291,-0.635132162,-0.554997287,-0.096884114,0.012384685,0.055764836,0.063951517,0.080929845,0.117052693,-0.000249779,0.008782322,0.006773285,0.008044515,0.008536527,0.009287363,0.012392476,0.01215979,0.003429913,0.009860182,0.012016974,0.011684912,0.008644585,0.007855499,-0.000231397,6.28E-05,0.000835731,-0.000644978,-0.00069934,0.003827572,6.12E-05,0.00061706,0.02201001,-0.016806244,0.005891769,-0.005660247,-0.003538574,-0.003255616,0.00026595,-0.001674534,0.004038808,0.002539365,-0.002816265,0.003926001,0.003669418,-0.000135865,1.13E-05,-9.01E-06,-0.000613535,-0.000362496,0.000174515,-6.32E-05,5.12E-05,-4.65E-05,-4.21E-05,-0.000109453,4.73E-05,-7.11E-05,0.019409582,0.01093848,0.225827982,0.017178047,0.024371599,0.219087209,0.00204863,0.021411598,0.6673423,0.450237191,0.301185751,0.322234922,0.288800396,0.192422815,0.235010216,0.218056845,0.184890744,0.202366098,0.240209219,0.218765651,0.192706118,0.005689868,0.006290216,0.005226646,0.007662201,0.007189791,0.013295971,0.010715675,0.003638365,0.007612975,0.009805608,0.007945996,0.006302504,0.003788842,0.018303572,0.011762856,0.306306777,0.015976669,0.023294115,0.252595781,0.002341293,0.020859839,0.537257,0.447047841,0.323605174,0.343822104,0.313719477,0.227192557,0.251192985,0.284328223,0.232464878,0.260755918,0.290529398,0.268031184,0.267608676,0.008483653,0.00867007,0.00754522,0.011193148,0.008355885,0.019443637,0.014573809,0.004821557,0.009858465,0.012695845,0.010823094,0.008783717,0.004642808,split_data\greypartridge\Perdix-perdix-112777_chunk_3.wav
4,0.091388385,0.004475147,3.109159514,0.181449085,0.20982614,0.755606828,0.00351856,0.122740472,-26.28237426,1.15096527,0.210711277,-0.211503764,-0.486891829,-0.478000461,-0.125857661,0.076433621,0.032518881,0.033581313,0.026337089,0.252731616,-0.059802374,0.01236547,0.008100233,0.011749571,0.009669422,0.010656134,0.011942883,0.01694465,0.002486881,0.013870575,0.015134138,0.015094288,0.013106361,0.009586223,-4.54E-05,1.30E-05,-0.002408808,-5.09E-05,-1.00E-05,-0.001580341,2.27E-05,-0.000444646,0.003391833,-0.000126335,0.007374071,0.006725637,-0.005631368,0.001844949,-0.006884031,0.008297295,0.001292,-0.001100006,0.004287323,0.003664563,-0.002236773,-7.95E-05,2.20E-05,-3.76E-06,4.80E-05,-6.54E-05,-0.00013563,-4.84E-05,-5.63E-05,1.25E-05,0.000222581,-4.30E-05,-9.11E-05,8.83E-06,0.018522361,0.005688424,0.187572684,0.017682376,0.028697961,0.202710228,0.001791117,0.03275722,0.730280159,0.663286449,0.404183192,0.27353695,0.221063021,0.186215074,0.229095547,0.172447268,0.175341709,0.186131176,0.201677345,0.197982026,0.172011915,0.009376943,0.007186747,0.007391762,0.007800916,0.00788084,0.009175972,0.0132218,0.002093713,0.011380714,0.014670645,0.012217946,0.011090652,0.004969507,0.019576332,0.00626362,0.260209286,0.013453912,0.022442186,0.266027152,0.001976512,0.033569681,0.440660399,0.523031719,0.377222774,0.321901534,0.252416432,0.227221531,0.232732254,0.216777093,0.216458477,0.275882402,0.280997765,0.252988083,0.224854024,0.011485201,0.009849102,0.009465342,0.010922335,0.01052159,0.012636854,0.018981124,0.003014033,0.015646482,0.021698167,0.016450473,0.012845186,0.006251965,split_data\greypartridge\Perdix-perdix-112777_chunk_4.wav
5,0.082300363,0.003345183,2.899672353,0.168239913,0.207569718,0.673963419,0.002950979,0.109274047,-25.3311139,1.226305528,-0.310317646,-0.129432563,-0.256865525,-0.284094034,-0.352749171,-0.242696742,0.077101294,0.114054799,-0.032608467,0.148539207,0.055994233,0.012085183,0.00645283,0.009679929,0.009237866,0.014598296,0.0180284,0.014036383,0.00491156,0.015761189,0.016716617,0.017804477,0.016062389,0.009972909,0.000136116,1.11E-06,-0.004211612,0.00025417,0.000144243,0.00345268,4.91E-05,0.0003902,-0.009964712,0.012152412,0.000888677,-0.001922462,0.006187229,-0.00162502,5.76E-05,0.000912148,-0.000177508,-0.000289246,-0.003017878,0.000108349,-0.003380364,8.69E-05,-3.11E-05,-2.85E-05,-8.02E-05,-7.10E-05,-6.85E-05,0.000134093,-2.48E-05,-2.21E-05,-0.000149538,-8.48E-05,8.52E-05,1.79E-05,0.012451309,0.002608809,0.441279208,0.019145551,0.018993933,0.182935563,0.001128396,0.027696055,0.689584722,0.332988854,0.491973273,0.225677836,0.350735156,0.315907007,0.212342658,0.256982269,0.199864114,0.207738104,0.196712998,0.179530864,0.168053148,0.007585736,0.004573406,0.005171568,0.006084474,0.011093338,0.016439006,0.007028701,0.004234572,0.009239857,0.010486176,0.010934565,0.011020966,0.003831161,0.015838048,0.003090641,0.496512133,0.019194743,0.016942353,0.226576995,0.001472598,0.034129056,0.611717568,0.315108255,0.475334369,0.24869396,0.337395656,0.327793033,0.257241853,0.327661715,0.227839674,0.261230959,0.250715851,0.230440213,0.22717823,0.010077744,0.006789935,0.007606808,0.008587764,0.012871144,0.02217481,0.010047299,0.005656089,0.01334744,0.013854988,0.014247384,0.013800956,0.005025404,split_data\greypartridge\Perdix-perdix-112777_chunk_5.wav
6,0.08603902,0.007713742,2.950199277,0.156872444,0.187672208,0.742684318,0.005072565,0.122250454,-24.95292566,0.69743524,-0.070129787,-0.207776587,-0.498958097,-0.523542156,-0.319301852,-0.128388505,0.083387467,0.026800636,-0.020625746,0.38802179,-0.080114195,0.007005709,0.004530543,0.008425316,0.008405361,0.006454731,0.013411609,0.011976944,0.0049107,0.013926237,0.013242743,0.013332021,0.01289916,0.009204472,-0.000485481,-3.65E-05,0.002238443,0.000435286,0.000731526,0.001400745,8.71E-05,-0.000408348,-0.012418748,0.003220069,-0.001925571,-0.005304275,0.001667444,0.0006065,0.002316558,-0.000129525,0.000641931,0.001037768,-0.001854838,0.004408981,0.000852547,-6.83E-05,1.85E-05,0.000234789,8.74E-05,6.29E-05,1.78E-05,8.46E-05,5.08E-05,0.000223989,0.000422772,4.70E-05,2.27E-05,9.01E-05,0.016351813,0.004919618,0.375049621,0.017167248,0.021454771,0.233359793,0.00262068,0.02531461,0.739766893,0.460188934,0.431049079,0.264798842,0.238981794,0.33168789,0.244313338,0.262793977,0.192207462,0.248394988,0.223116977,0.246812436,0.225422048,0.004597868,0.004522846,0.006748388,0.007750384,0.00467115,0.016037706,0.009483657,0.005097067,0.010945876,0.012126671,0.010722054,0.010922894,0.004819805,0.021904103,0.006069867,0.411772522,0.016922084,0.022513046,0.313766092,0.003062955,0.02768586,0.58441892,0.494567819,0.511682212,0.286785606,0.289099073,0.35186571,0.299425399,0.314751349,0.243227142,0.317761627,0.272877404,0.294732998,0.325571803,0.007208073,0.006746285,0.008883447,0.011365308,0.00613858,0.023481822,0.013684957,0.006596049,0.013738102,0.015408426,0.015664276,0.014552004,0.006773894,split_data\greypartridge\Perdix-perdix-112777_chunk_6.wav
7,0.084233212,0.011333849,3.095199841,0.141748482,0.154874032,0.689475645,0.003892484,0.108983666,-24.86604483,1.35936744,0.122474054,-0.118346375,-0.347352904,-0.489188034,0.157227282,0.160714425,-0.127314772,-0.051724148,0.200792876,0.162192669,-0.119659987,0.009483565,0.005826176,0.021016613,0.009853399,0.016861565,0.010878992,0.032605895,0.003178095,0.010353784,0.010197824,0.014058658,0.009641526,0.011249365,-0.000607985,4.18E-05,0.00885666,-0.000193804,-0.00036344,0.003212041,2.33E-05,0.000644283,0.029725761,-0.004829208,0.003796238,0.001594901,0.001348817,0.00453188,0.003288014,0.007442913,-0.001226453,-0.001280412,-0.001775192,0.001662969,-0.00051919,-5.49E-05,-7.30E-06,0.000255032,2.89E-05,-0.000241481,-0.000116998,-0.000273086,-7.91E-07,-9.43E-05,5.83E-06,0.0001637,-1.66E-05,-5.23E-05,0.028558022,0.015939626,0.216179259,0.011550318,0.027994628,0.341982491,0.001662887,0.051541088,0.923755444,0.904728064,0.669300161,0.338965825,0.22265517,0.203752162,0.211381244,0.209637954,0.198337023,0.229740249,0.185656731,0.178783161,0.164187386,0.007983478,0.005804694,0.014817758,0.008574824,0.011830835,0.009876409,0.0228523,0.003481992,0.009355076,0.00714795,0.011857431,0.009492601,0.005932354,0.023886378,0.012825264,0.289245999,0.011870481,0.02091783,0.31839264,0.001996089,0.045579505,0.638184303,0.594980056,0.493876065,0.285378364,0.235691123,0.285536995,0.230438582,0.226801246,0.254911166,0.25111144,0.230311394,0.23582316,0.217323895,0.0102995,0.007528015,0.016222868,0.010906189,0.012052542,0.012267307,0.026233757,0.004319709,0.011716564,0.009850991,0.013014532,0.012159756,0.006012327,split_data\greypartridge\Perdix-perdix-120738_chunk_0.wav
8,0.0678902,0.012178938,3.110007994,0.136363281,0.163617254,0.529440508,0.004733368,0.0776951,-24.7135643,2.10536047,0.279822317,-0.049859563,-0.383690521,-0.357338116,0.068795584,0.067958489,-0.104120427,0.022807499,0.236474636,0.092470187,-0.001157895,0.009089579,0.00591588,0.023758224,0.00950187,0.024763432,0.02037181,0.043070868,0.003781035,0.013991689,0.012762686,0.017291986,0.012154622,0.015710031,0.000303993,0.000311499,-0.00054297,0.000102672,-0.000207297,0.006720595,4.99E-05,0.00100726,0.021732153,-0.01450093,0.021064201,-0.001706951,0.003668153,0.000377445,-0.007243951,0.003366903,-0.001435429,2.88E-05,0.00815589,-0.005677993,0.000671275,-9.70E-05,5.38E-05,-0.000122366,-5.66E-05,-0.000263809,0.000253952,-0.000369088,-9.64E-06,-0.000208592,-1.76E-05,-5.66E-05,-0.000199576,-6.80E-05,0.026994102,0.012211194,0.133767364,0.015235059,0.027057276,0.372535038,0.001877097,0.057021188,0.896358002,0.877520669,0.66207139,0.219508604,0.169477465,0.220833514,0.235252485,0.198633329,0.162407552,0.204605637,0.2038488,0.163664011,0.181520052,0.006421879,0.005802898,0.014839286,0.006297318,0.017041641,0.018859931,0.026057577,0.004819734,0.01351438,0.011479092,0.015462277,0.010391995,0.006696701,0.022873716,0.010680017,0.173408014,0.014344979,0.024295394,0.302409414,0.002126959,0.048180993,0.613139828,0.615220275,0.381258228,0.224641654,0.240155755,0.256610826,0.203768818,0.209492508,0.199215639,0.22247965,0.243591338,0.21006828,0.235931953,0.008349975,0.007978895,0.019483621,0.007766607,0.021223597,0.025234788,0.033323415,0.005030937,0.017721233,0.01440949,0.017266543,0.014016166,0.007754499,split_data\greypartridge\Perdix-perdix-120738_chunk_1.wav
9,0.064083485,0.01364295,3.116481383,0.132312222,0.159705335,0.538798835,0.004437914,0.079019964,-24.32892549,2.018175454,0.567510457,0.006853897,-0.211317152,-0.019417744,0.091391612,0.156664106,-0.122980623,-0.138190205,0.146115364,0.129054795,-0.011616144,0.017835207,0.004460459,0.051451737,0.008092146,0.02811478,0.008615219,0.036251666,0.003793316,0.008773288,0.009382695,0.013901044,0.005526721,0.017435048,-0.00069873,0.000184005,-0.006471715,-0.002400609,-0.00219881,-0.015653329,0.00019376,-0.002313975,0.004654246,0.071748957,0.001749775,0.032194167,-0.016828534,-5.85E-05,0.013276456,0.01254311,0.018591593,0.007675493,0.002770643,0.005995682,-0.004586364,0.001313113,0.000198813,0.003199832,-0.000668863,-0.000887671,0.000549722,-0.001100713,-0.000881209,0.001148548,0.00020114,-0.000323407,-0.000533475,0.000447223,0.022289278,0.011126207,0.16824194,0.011313597,0.022591723,0.307485053,0.001855682,0.048701073,0.698033485,0.788048891,0.480095316,0.240239314,0.175930883,0.192692165,0.194146735,0.155592949,0.183733364,0.169248126,0.164289912,0.165755776,0.134641293,0.01076701,0.004320322,0.020013953,0.005243806,0.015037385,0.006177201,0.024113674,0.003406114,0.00774352,0.005714103,0.008396437,0.004631098,0.00644581,0.020590433,0.011066276,0.24190136,0.012762017,0.023337362,0.258763637,0.001969717,0.043631281,0.51583089,0.553853651,0.361538892,0.275275035,0.215789717,0.254797502,0.255572217,0.156094842,0.235566209,0.22177989,0.22827736,0.199477108,0.212795825,0.017125356,0.006395076,0.026055396,0.006672236,0.016908362,0.007458858,0.03282344,0.003941022,0.010886033,0.00781882,0.011487878,0.005674022,0.006652136,split_data\greypartridge\Perdix-perdix-120738_chunk_2.wav
