,zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std,clip
0,0.046447368,0.015922616,3.145066238,0.096963655,0.148016529,0.35345631,0.010353958,0.066905626,-25.7717423,3.499466664,-0.702858263,-1.422458498,-0.072740952,-0.543487866,-0.182162179,-0.363446695,0.054673893,-0.099930747,0.016105222,-0.089012058,-0.003779175,0.020762558,0.013192982,0.017159513,0.014545268,0.017237704,0.019599372,0.015837899,0.003860009,0.014476804,0.020895731,0.017290251,0.020129645,0.01559167,-0.000176951,0.000697593,0.001291203,0.000170799,0.000451359,-0.00050292,0.000326252,-0.000127042,0.026789509,-0.009300111,0.004154614,-0.003267924,-0.014588318,-0.005271061,-0.006151494,0.002357169,0.004395131,0.006005964,0.000196247,-0.002844203,-0.003644221,0.000322282,4.34E-05,-8.63E-05,-2.17E-05,-0.000537614,-0.000505005,-0.0001963,-0.000179184,-8.17E-05,-9.56E-06,0.00024645,0.00129582,0.00021706,0.018055664,0.016413949,0.083237098,0.018705263,0.024859807,0.207478863,0.006016066,0.033718823,0.557093405,0.461030506,0.259092643,0.256358397,0.274222031,0.191056765,0.174148232,0.174604024,0.168016592,0.161146192,0.158770855,0.156269767,0.138899325,0.017198817,0.013127726,0.01184289,0.010712649,0.015669679,0.015916568,0.010788999,0.003933362,0.012504208,0.022066916,0.013673123,0.021809858,0.006399496,0.014646247,0.013829197,0.106619413,0.021808192,0.031692257,0.134991586,0.006579548,0.024200892,0.534035799,0.46960736,0.274160905,0.257645407,0.302253004,0.269602407,0.227621832,0.213847775,0.223224928,0.232448688,0.228354846,0.199648569,0.193483959,0.026078831,0.018708037,0.016948824,0.01577141,0.018770079,0.018091537,0.014495306,0.005532508,0.016690832,0.02976213,0.019705025,0.027543329,0.007988856,split_data\stockdove\Columba-oenas-103694_chunk_0.wav
1,0.030403811,0.050757507,3.076701654,0.089997136,0.158125016,0.143061775,0.021478338,0.041243194,-24.97328746,3.556187573,-0.984569338,-1.394946813,-0.571563405,-0.457533104,-0.151284481,-0.154285814,0.121551618,-0.033396992,-0.016508043,-0.100310596,-0.056528194,0.030873267,0.023785602,0.014681831,0.015648909,0.016900107,0.012647104,0.010124485,0.003567146,0.009690251,0.013499913,0.02293733,0.029408446,0.021218704,0.000789474,3.59E-05,0.001047662,-9.66E-06,-0.000871085,0.009363825,3.80E-05,0.001243194,0.000776143,-0.00862705,0.009382708,-0.013262783,0.007937423,-0.009178474,0.003690514,-0.001523132,0.003479216,0.001027377,0.002567063,-0.000434865,0.000647276,-0.000135883,0.000152844,-0.000330844,-9.14E-05,-0.000339221,-1.67E-05,-0.000142778,-1.17E-05,-0.000177006,-3.81E-05,0.000314985,-7.17E-05,-2.69E-05,0.010978548,0.063828684,0.183288024,0.020433693,0.031135381,0.12038361,0.014298263,0.024336576,1.113518121,0.476709185,0.295220146,0.262006167,0.385276972,0.210492043,0.217019763,0.267425818,0.201128325,0.238728759,0.193421042,0.161454116,0.186384671,0.030796588,0.02927519,0.01409082,0.020660929,0.0176835,0.014879564,0.009138095,0.004459669,0.009902321,0.014198118,0.030464271,0.040329343,0.012042999,0.011062607,0.074685976,0.272459652,0.028596231,0.043052725,0.117373414,0.016015401,0.025306138,1.094886094,0.597445976,0.329290083,0.287562831,0.433706671,0.27090521,0.263675011,0.295743582,0.274950154,0.312426062,0.272013235,0.218769529,0.265969742,0.045826921,0.041769141,0.022281337,0.031935888,0.025066114,0.018425169,0.011497748,0.005209718,0.011869054,0.020165994,0.042865969,0.054364159,0.015203305,split_data\stockdove\Columba-oenas-103694_chunk_1.wav
2,0.028598004,0.053026917,3.133368432,0.08622773,0.15230005,0.084026481,0.007307054,0.032431942,-22.79318765,3.465312191,-1.227481571,-1.407651321,0.013130681,-0.411359819,-0.152256824,-0.362442559,0.014876447,-0.124275864,0.016377129,-0.001462126,0.012624368,0.015204911,0.014400351,0.017647169,0.017203454,0.019454418,0.020907115,0.021061258,0.009028139,0.016455656,0.014819936,0.016616468,0.013922924,0.011665767,0.000104356,-0.000118153,0.00033271,6.80E-05,-0.000165469,0.001170209,6.59E-05,2.72E-05,-0.005900111,0.001732217,-0.001616608,-0.003685056,0.003371604,-0.003450468,0.000493382,-0.001677784,0.00217017,-0.000321716,-0.000500667,-0.000984571,0.003954264,-0.000134568,-4.92E-05,0.000124017,3.71E-05,0.000241075,-3.71E-05,-9.88E-06,-8.78E-05,4.34E-05,0.000157016,-6.93E-05,-1.04E-05,6.04E-05,0.003445852,0.009954112,0.085126558,0.013165907,0.021610742,0.023544578,0.001765623,0.001360463,0.243016834,0.241710625,0.157075211,0.182183818,0.164718724,0.142853564,0.135474632,0.132856194,0.14002435,0.141527603,0.146094318,0.136902862,0.128041623,0.010860431,0.011392834,0.01122751,0.010177463,0.011778921,0.012556155,0.01237241,0.008453699,0.011157467,0.010417696,0.011950669,0.011234326,0.002645657,0.00451071,0.014300358,0.12647634,0.017208528,0.02764651,0.027731957,0.002244194,0.001984432,0.325155812,0.341194178,0.203126315,0.24229411,0.219228309,0.179548341,0.178046073,0.175077645,0.1841551,0.222745541,0.231787441,0.187565206,0.151741276,0.014162384,0.016909782,0.016649599,0.014031395,0.017136479,0.018975653,0.01705806,0.012858655,0.015337007,0.015911224,0.017652243,0.014326983,0.003769759,split_data\stockdove\Columba-oenas-103694_chunk_10.wav
3,0.052318512,0.020538373,3.175407496,0.097162445,0.143601029,0.407626351,0.006457669,0.080372051,-24.07762748,3.295994264,-1.028642301,-1.408390915,0.29691861,-0.458096232,-0.136127663,-0.414075275,0.032953008,-0.175524362,0.026815778,-0.071899872,0.092103152,0.013043559,0.008589885,0.015240674,0.017210758,0.017964025,0.021728756,0.017376374,0.00828615,0.014582379,0.014681415,0.014866005,0.011572491,0.009889616,-0.000272232,-6.25E-06,-0.000163425,-0.000263569,0.000116119,-0.002871919,9.11E-05,-2.72E-05,0.000594548,0.00401641,-0.003847204,0.007050121,-0.003409604,0.003405017,-0.000824557,0.002948002,0.004099543,0.004782942,0.000278551,0.000108796,-0.001829893,-3.81E-05,6.73E-05,6.16E-05,-0.000198277,-0.000217729,-0.000313804,3.03E-05,-6.88E-06,-5.42E-05,0.000156105,0.000198693,0.000172748,-1.61E-05,0.015201268,0.005826048,0.067038162,0.015566849,0.020228814,0.179363094,0.001789863,0.030493029,0.349331213,0.352428291,0.281269171,0.252820593,0.193861814,0.17829801,0.203300809,0.171826058,0.164655425,0.144417477,0.150412663,0.129382472,0.129625727,0.007321686,0.006829286,0.00861191,0.010374603,0.01217826,0.014484037,0.010229765,0.006638924,0.009112769,0.0092688,0.007531336,0.008940934,0.002938041,0.014209776,0.006820233,0.095706906,0.018625479,0.025514175,0.134564326,0.002213965,0.021382163,0.345908807,0.364111261,0.249052161,0.293106226,0.236276011,0.235994767,0.254722163,0.225223075,0.232166136,0.18585683,0.210970211,0.185794979,0.15736509,0.010147632,0.009892784,0.011897229,0.014297824,0.018130944,0.02038762,0.015839414,0.009418917,0.012775016,0.014058467,0.010429229,0.012430416,0.004182533,split_data\stockdove\Columba-oenas-103694_chunk_11.wav
4,0.025685118,0.056824947,3.128624601,0.077159552,0.151795992,0.032230494,0.00787462,0.033021779,-22.7962561,3.899521898,-1.488878833,-0.983718594,0.006385548,-0.293077167,-0.220959026,-0.293053749,-0.030806425,-0.107891108,-0.017727806,-0.016263968,-0.015066527,0.016814248,0.011312768,0.021275533,0.018394352,0.019466928,0.020245036,0.022255251,0.010070058,0.01917043,0.016051108,0.017059272,0.012551429,0.011812809,4.54E-06,-0.000162193,-0.000980585,-9.34E-05,-0.000193361,-7.69E-05,7.39E-05,-9.07E-06,-0.007062916,0.002455839,-0.003653381,-0.001644002,-0.001994712,-0.002735147,-0.000346462,0.002248524,0.002520004,-0.004121487,-0.004539865,-0.003149587,-0.002349964,0.000249063,0.000182242,-0.000120734,8.66E-05,0.00021915,-0.000302067,-0.00033419,-9.71E-05,-5.24E-05,-0.000118401,-5.73E-05,-1.38E-06,-8.40E-06,0.002282767,0.011401142,0.07817561,0.016302296,0.024161115,0.014855244,0.00199571,0.001479475,0.332939967,0.350909468,0.169182541,0.158812621,0.167842407,0.163100893,0.141560145,0.13527305,0.124761959,0.135392679,0.147592019,0.14743534,0.11018636,0.010853487,0.009240756,0.011873684,0.012404022,0.013058771,0.012536054,0.014185158,0.008374012,0.011254624,0.009897084,0.010538555,0.009911918,0.003191622,0.003209223,0.014026184,0.110109058,0.020316829,0.030012332,0.018072794,0.002462459,0.002049593,0.407755243,0.448132556,0.23378911,0.232325235,0.229396168,0.217840187,0.189594158,0.199649125,0.178186802,0.182771919,0.220125398,0.200106311,0.143777482,0.01382528,0.014108749,0.014924378,0.017690374,0.018375568,0.019872693,0.021374722,0.012383876,0.016354146,0.014321379,0.014518355,0.013462181,0.004662738,split_data\stockdove\Columba-oenas-103694_chunk_12.wav
5,0.028339383,0.060862442,3.13261186,0.0783554,0.146399671,0.072950524,0.008019546,0.031978221,-22.84871158,3.944557966,-1.336679482,-1.158898109,-0.020717581,-0.417982835,-0.193860656,-0.300087158,0.043850507,-0.116710471,0.00855998,-0.03983208,0.00295834,0.020154598,0.014406807,0.017672517,0.018631996,0.019372411,0.018725749,0.017684722,0.008540683,0.017090509,0.01722571,0.018050573,0.013815315,0.011597426,4.08E-05,-9.54E-06,0.000236226,0.000168993,0.000171192,0.000629263,9.66E-05,2.72E-05,0.003379944,-0.003466614,0.002515553,0.0006652,0.000312502,-0.002085075,-0.000952302,-0.001054138,0.00076752,-0.001962982,0.000219921,-0.002219669,0.002782787,5.75E-05,1.45E-06,-0.000104955,-0.000239307,-3.88E-05,-2.59E-05,2.46E-05,1.06E-05,-8.98E-05,-2.75E-05,-2.25E-05,-4.76E-05,-2.68E-05,0.005133006,0.013241963,0.078903415,0.015085404,0.023626686,0.045317365,0.00215432,0.002214608,0.352098785,0.285408604,0.198433474,0.17732754,0.183306838,0.191477584,0.159480213,0.159663954,0.135277978,0.135055892,0.142228793,0.146170978,0.116788816,0.013687807,0.01243177,0.009829461,0.01162017,0.011481351,0.012369278,0.008584507,0.007571194,0.010668684,0.011635742,0.011333841,0.011659964,0.002894413,0.005701825,0.01811101,0.114528308,0.019818654,0.032344596,0.043817103,0.002820052,0.003218044,0.460576154,0.411437,0.260622322,0.249071631,0.219294959,0.229105183,0.235763957,0.225378116,0.172876756,0.170586981,0.210492519,0.211563571,0.149161665,0.019446982,0.01808429,0.01380929,0.016570768,0.017845037,0.018075635,0.012339951,0.011235179,0.016939409,0.01733522,0.015546228,0.016995235,0.00453236,split_data\stockdove\Columba-oenas-103694_chunk_13.wav
6,0.043806715,0.025918076,3.154857648,0.092663187,0.14293538,0.341719619,0.012587332,0.07022686,-25.31069243,3.499088055,-0.934863527,-1.571312948,-0.056887736,-0.600402646,-0.140590608,-0.269401046,0.154002749,-0.094629685,0.036372846,-0.089342817,0.025048385,0.023486957,0.019247061,0.015798241,0.012370207,0.012403041,0.014405533,0.012833813,0.004890983,0.013342874,0.016154134,0.017001528,0.020260384,0.014860451,-0.00011343,-1.84E-05,0.000311893,9.96E-05,0.000435611,-0.001111544,6.16E-05,2.72E-05,0.000774622,-0.005470652,-0.002118783,0.004212626,-0.003094043,0.005077472,-0.00267038,0.005903925,0.001448879,6.72E-05,-0.003039648,0.005931009,0.000269978,-1.88E-05,-9.74E-05,0.00012499,-0.000179292,-9.77E-05,7.72E-06,0.0003048,-0.000298765,0.000163406,-1.86E-06,1.76E-05,2.38E-05,4.26E-05,0.01091061,0.029206997,0.076147285,0.018572472,0.027480408,0.142118343,0.008489397,0.027062956,0.628734069,0.465332883,0.305952992,0.253465126,0.321288755,0.212925702,0.176932001,0.242372236,0.194653913,0.178461789,0.159505546,0.185400972,0.172797811,0.022389754,0.02243093,0.013549703,0.010026639,0.009210495,0.010804383,0.008555894,0.005748649,0.01098282,0.016382393,0.014233592,0.02436348,0.008030879,0.011989926,0.027692621,0.113713071,0.021186804,0.033594586,0.150231095,0.008332812,0.035532697,0.636418901,0.526457201,0.301122621,0.271330904,0.325907154,0.259526112,0.24422259,0.272558952,0.223062433,0.211458155,0.190673916,0.234336656,0.193124392,0.030299372,0.031653035,0.01977783,0.013581479,0.011969431,0.013179935,0.010063465,0.007704036,0.014265703,0.022355464,0.020879408,0.032593089,0.010345224,split_data\stockdove\Columba-oenas-103694_chunk_14.wav
7,0.021052632,0.036099376,3.06988277,0.073151714,0.148853017,0.017568946,0.026438917,0.025753176,-25.75151007,4.004460866,-1.195037175,-1.190617453,-0.517572484,-0.474795412,-0.297047276,-0.109049909,0.132598727,0.040382469,-0.025312309,-0.072021618,-0.090757668,0.034061065,0.024499521,0.016283438,0.014106927,0.011917196,0.011796309,0.013070701,0.004190894,0.012403851,0.018526238,0.028348436,0.027906112,0.023693205,-2.27E-05,0.00027626,-0.003432868,-0.000382707,-0.000689978,-0.000214201,0.000373719,-0.000108893,0.0050041,0.007347316,0.000112363,-0.003346523,-0.006280091,-0.006005898,0.000212531,0.003354599,0.006813708,0.001383751,-0.001042358,-0.003011297,-0.001334189,0.000103538,0.000585059,-0.000121919,7.49E-05,-6.24E-05,-4.33E-05,-0.000132637,-1.89E-05,-6.72E-05,9.20E-05,0.00029235,4.56E-05,0.000150048,0.002454042,0.04280562,0.155510093,0.023481713,0.036441438,0.012830079,0.023419914,0.005091994,1.068110332,0.561514964,0.267850512,0.191324481,0.392154582,0.179388058,0.179216822,0.243980199,0.209901881,0.195505837,0.176179543,0.159050557,0.183809787,0.031721602,0.032720616,0.021903351,0.020178952,0.01235966,0.011347864,0.013245659,0.005713111,0.013265381,0.023390438,0.039430941,0.039282481,0.01339512,0.002695568,0.040139212,0.232651929,0.032896924,0.050523457,0.017223411,0.022413315,0.004502705,1.000738627,0.781416068,0.283009877,0.232947233,0.377587662,0.243195765,0.217127885,0.258173257,0.266069163,0.27954785,0.245572293,0.215800056,0.24151545,0.039080611,0.044736889,0.030950004,0.025704353,0.01532791,0.013747058,0.014799182,0.007228986,0.016010296,0.034302144,0.054741843,0.057896182,0.014266038,split_data\stockdove\Columba-oenas-103694_chunk_15.wav
8,0.038829401,0.020368186,3.123828551,0.091609052,0.145937232,0.276379405,0.009783082,0.05623412,-24.84705196,3.339151427,-0.995787691,-1.626915032,-0.131857432,-0.535180125,-0.184169645,-0.393166954,0.036436445,-0.088167658,0.018081574,-0.033333804,0.033471572,0.01509722,0.016189898,0.019169402,0.018596686,0.01481126,0.017880768,0.023692536,0.007357528,0.014972368,0.016356577,0.015995107,0.016297015,0.013568442,-0.000331216,-0.000130311,0.002037164,-0.000367051,-0.000425278,-0.001073427,1.49E-05,0.000598911,0.03001458,-0.01780482,0.007261378,-0.011918889,-0.001687241,0.000633711,0.005462441,0.004580749,-0.004738352,-0.002819174,0.017844092,0.01817107,0.020117394,-0.001090859,-0.001895839,7.65E-05,0.000399956,-0.000518978,0.001560036,0.000223626,2.47E-05,0.000530348,0.000298915,0.000338434,-6.68E-05,-0.000172197,0.008097899,0.014532864,0.071706125,0.015165407,0.025434797,0.1165636,0.004701467,0.031541169,0.464220709,0.360884036,0.197867035,0.213362251,0.213166062,0.200149405,0.154090229,0.18654387,0.170945449,0.1230722,0.173308421,0.156762404,0.128962167,0.012669114,0.017131173,0.011376613,0.011196502,0.009842139,0.011602984,0.015037895,0.006419271,0.011107436,0.01144545,0.014303888,0.015274926,0.004980081,0.010383687,0.012540755,0.096167279,0.019042283,0.034108161,0.134508754,0.005223537,0.043667546,0.497107245,0.470318864,0.24213551,0.257713844,0.279117845,0.262144392,0.228504359,0.226146598,0.236938795,0.158443094,0.199100588,0.218670991,0.18770102,0.017012925,0.024466215,0.015213962,0.01577099,0.014460837,0.015883072,0.016918795,0.008667825,0.014563652,0.01632135,0.021240923,0.02239681,0.007114318,split_data\stockdove\Columba-oenas-103694_chunk_16.wav
9,0.026488203,0.019873301,3.105563298,0.085455765,0.15373587,0.076814964,0.012584485,0.031778584,-25.51512196,3.538228174,-1.097196754,-1.419709215,-0.303870294,-0.39608454,-0.176209063,-0.361893376,0.004174239,-0.061056144,-0.006438624,-0.025316046,-0.009248229,0.019757871,0.014983135,0.01427943,0.016040578,0.017554831,0.019881658,0.018390309,0.006339354,0.015732747,0.017214065,0.017268652,0.02068494,0.015117698,-0.000567151,5.03E-05,-0.001332335,-0.000569132,-0.000148247,-0.008366171,8.74E-05,-0.001206897,0.003563626,0.013322252,-0.006691299,0.008499562,-0.00580762,0.003466114,-0.006611514,-0.000330568,-0.004211481,-0.000289986,0.001579549,0.001397865,-0.001070282,-0.000147573,0.000167637,-8.66E-05,4.86E-05,0.000118699,0.000307963,9.55E-05,7.87E-05,0.000235223,4.30E-05,-7.84E-05,-3.77E-05,3.26E-05,0.005690624,0.022835685,0.108348933,0.017999746,0.026562852,0.064866772,0.008181239,0.009894053,0.610583108,0.337955532,0.208139651,0.220323775,0.277207592,0.194821166,0.170634711,0.195526089,0.160845947,0.184306226,0.150817789,0.151290208,0.147821883,0.01765507,0.01625335,0.010393712,0.015030718,0.013102956,0.014172944,0.010458545,0.00602111,0.013068721,0.017097398,0.017441544,0.024060203,0.006634644,0.005065854,0.020620251,0.150576066,0.022955991,0.035176537,0.062948786,0.006970683,0.011869143,0.540710984,0.457338494,0.223107138,0.278164628,0.273988021,0.244506137,0.237645824,0.2093993,0.198404932,0.236815861,0.210644217,0.208368618,0.167689087,0.023709865,0.021659903,0.014689377,0.021210394,0.017394579,0.018128967,0.013597641,0.008425719,0.0190738,0.025190486,0.023680509,0.034386302,0.007537815,split_data\stockdove\Columba-oenas-103694_chunk_2.wav
