,zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std,clip
0,0.011638183,0.05083354,2.853885168,0.099426595,0.173849884,0.071242986,0.028693328,0.010066667,-27.70590787,2.1961292,0.210922759,-0.720785754,-0.02431811,0.241709835,0.610848246,0.298827858,-0.070381364,-0.178920258,-0.031834895,0.190743715,0.108028116,0.000728695,0.000501269,0.037294679,0.002554077,0.006753983,0.00511504,0.271860855,0.000222073,0.000251469,0.000649451,0.003087569,0.000271787,0.075608445,9.59E-05,0.001185943,-0.007141894,-0.001410091,-0.000869667,9.16E-05,0.000102653,1.67E-05,0.217976677,0.026825936,0.000360574,-0.003172065,-0.000438475,-0.001985943,0.010318071,0.005225028,-0.00457573,-0.007477887,-0.003993593,0.001839058,0.008057378,2.24E-06,2.01E-06,0.000125813,4.37E-05,2.60E-05,1.78E-06,0.002218294,6.91E-07,2.61E-07,3.34E-06,3.21E-06,1.22E-06,0.000608384,0.009118664,0.034438424,0.244825125,0.035950899,0.042597193,0.053183561,0.026499694,0.011963378,3.113201876,0.632938855,0.486712722,0.687607459,0.283610254,0.27963764,0.400980217,0.228196416,0.226395649,0.276516242,0.153164947,0.226140695,0.16698245,0.000885272,0.000613342,0.035122768,0.003154297,0.0089699,0.007546222,0.093926908,0.000340997,0.000277202,0.000756523,0.003862757,0.000386798,0.025177229,0.012921779,0.037800937,0.312827438,0.036925014,0.054219587,0.064230987,0.033225958,0.015567558,2.196892055,0.514405446,0.488984585,0.726960493,0.245553602,0.282852374,0.334084325,0.232500357,0.246145521,0.257693548,0.188461288,0.203696686,0.188355731,0.001321586,0.00074698,0.048916546,0.004090681,0.010209057,0.008680305,0.113636457,0.000416686,0.000422571,0.001113101,0.005718212,0.000568353,0.030123129,split_data\turtledove\Streptopelia-turtur-102481_chunk_0.wav
1,0.010016674,0.057296562,2.81339878,0.082872706,0.164734285,0.034125987,0.032855355,0.010925,-26.17272966,2.682753886,0.004515672,-0.763349368,-0.082969538,0.285461447,0.71774919,0.324145722,-0.052642398,-0.199576777,0.000236186,0.181348873,0.154365271,0.00066978,0.00069717,0.039509358,0.002586155,0.007234381,0.005650193,0.278596253,0.000301537,0.000361728,0.00065464,0.002794413,0.000231286,0.077472674,4.17E-05,-0.000902494,0.002640148,0.000457935,0.000711285,0.000201774,0.000385869,0.000208333,0.026660023,0.013965015,-0.009029267,0.000450487,-0.0071464,0.004473286,0.000401229,0.002020036,0.000991743,-0.000214983,-0.001864733,-0.000923451,-0.000715778,1.53E-05,5.12E-06,0.000910877,2.47E-05,3.08E-05,7.69E-05,0.000315981,3.51E-06,4.55E-06,1.79E-05,6.82E-05,5.57E-06,0.000103257,0.006869606,0.032538725,0.214163037,0.026385744,0.03905673,0.027329309,0.029003804,0.010458758,1.237282819,0.491645381,0.512308573,0.632827972,0.244449292,0.274756063,0.357298527,0.185196408,0.213276483,0.232033568,0.137087836,0.179304782,0.146996834,0.0008659,0.001176611,0.036999158,0.002842927,0.009278372,0.009600107,0.095121048,0.000567968,0.000498217,0.000714555,0.002849018,0.000253576,0.025377027,0.008730011,0.03944994,0.306844002,0.034592519,0.051791785,0.035515597,0.034436877,0.007396515,1.465090764,0.461819201,0.434679446,0.658108178,0.246291151,0.236251831,0.302385276,0.22940676,0.180615069,0.204719396,0.150877882,0.202443405,0.170770365,0.00122924,0.001954467,0.050535823,0.003265624,0.008256089,0.011430823,0.11924287,0.000748354,0.000747609,0.00104251,0.004087971,0.000359074,0.031762471,split_data\turtledove\Streptopelia-turtur-102481_chunk_1.wav
2,0.015214673,0.068880609,2.795052639,0.095137023,0.172074896,0.08455026,0.031939133,0.01185,-25.22128316,2.397863789,0.186083392,-0.728614154,-0.051814824,0.197920698,0.628702833,0.321220611,-0.049233176,-0.172720935,-0.016528155,0.147636537,0.143189473,0.001029984,0.001295923,0.051439341,0.003147777,0.008305705,0.005026353,0.24732658,0.0003203,0.000513297,0.000948187,0.003680069,0.000346809,0.070147034,-4.17E-06,0.000715154,0.00525863,-0.000394225,-0.000393203,-0.0002552,0.000259593,-5.00E-05,-0.003847854,-0.004794747,-0.00098217,-0.013382832,-0.001596233,0.000488623,0.008586037,0.005894633,0.002482063,-0.001949178,-0.003064487,-0.001657197,0.000530292,-2.73E-05,2.07E-05,-0.002069478,1.82E-05,-5.11E-05,-1.79E-05,0.002209466,-1.13E-06,-2.93E-06,-3.38E-05,-0.000138113,-1.70E-05,0.000384797,0.010400277,0.037163752,0.23360113,0.024368404,0.038206299,0.058412207,0.03616645,0.013343866,1.156895878,0.395620879,0.463344195,0.625905835,0.278836658,0.242383886,0.334264414,0.221819628,0.222678968,0.232408963,0.17046801,0.19787256,0.144926958,0.001062806,0.001786499,0.045895057,0.004357242,0.011598529,0.007208351,0.094114282,0.000555131,0.00054075,0.00092391,0.003308201,0.000314055,0.024442577,0.013590362,0.046862967,0.331269283,0.032190673,0.048698483,0.070356697,0.039588456,0.013794939,1.361845495,0.364823624,0.392310884,0.557737697,0.280090071,0.259430381,0.254208386,0.227200377,0.230164249,0.212013994,0.196538251,0.218399973,0.157667284,0.001508173,0.001897628,0.059487005,0.004874412,0.013380916,0.008220254,0.124647708,0.000757535,0.000771669,0.001215291,0.004054205,0.000412977,0.03193201,split_data\turtledove\Streptopelia-turtur-102481_chunk_2.wav
3,0.011188748,0.034224815,2.702995372,0.08223481,0.167819992,0.019353927,0.025432671,0.01600726,-26.87842242,2.861006564,-0.348509624,-0.743744694,-0.535173383,0.561093605,0.804592485,0.57726747,0.040957836,-0.192431945,-0.144845562,0.103245542,0.159627384,0.002389054,0.003687218,0.057192249,0.02115263,0.040389068,0.008577253,0.150980558,0.000429128,0.000339105,0.000661753,0.016136601,0.000748184,0.051941532,-0.000467332,0.000651164,0.008183768,-0.000654394,-0.000871002,-0.000133416,0.000124352,0.000199637,0.025276489,0.021334232,0.002559752,-0.015133877,-0.008534501,-0.002438581,0.011009954,0.000792229,-0.000949978,-0.001918197,-0.003383969,8.57E-05,0.002478313,2.19E-05,-1.32E-05,0.002636707,4.98E-05,-0.000598306,3.40E-06,-0.001420103,-2.66E-08,7.57E-07,-1.34E-06,-0.00010605,5.53E-06,0.000412436,0.006977285,0.027671835,0.22508252,0.03231467,0.046884267,0.015884243,0.025133863,0.010119862,2.062151691,0.632447999,0.742176534,0.667876327,0.387167344,0.281486133,0.345928529,0.263835072,0.197072447,0.22833992,0.156623379,0.154780596,0.144740507,0.003112423,0.005751937,0.040700408,0.024642282,0.032494196,0.011390773,0.11360651,0.000508109,0.000261239,0.00055066,0.019002855,0.001027589,0.027447291,0.006359963,0.023155057,0.298843083,0.043004842,0.064129995,0.019631258,0.028644111,0.007623037,1.785842988,0.748444565,0.59833302,0.482680471,0.430256477,0.341549489,0.439269611,0.296909088,0.24873994,0.268672562,0.198437053,0.200780012,0.190380475,0.004026241,0.007516503,0.044717065,0.021816558,0.041117339,0.013647188,0.105422092,0.00058031,0.000317905,0.00074973,0.021695273,0.00143941,0.022371896,split_data\turtledove\Streptopelia-turtur-103187_chunk_0.wav
4,0.011029946,0.032751585,2.766372355,0.074070633,0.153820438,0.052909071,0.032506292,0.009891107,-28.06363844,2.724388272,0.137828518,-0.49761565,-0.212353046,0.290596824,0.759766568,0.45763563,0.081312246,-0.180893826,-0.032531972,0.129607414,0.15195675,0.001128018,0.001467981,0.152116399,0.009236647,0.02426398,0.003150146,0.190459475,0.000179253,0.000244663,0.000655211,0.014906352,0.000493532,0.077891842,3.63E-05,-8.83E-05,0.004700614,0.000486557,0.000488428,7.31E-05,0.000105144,0.000108893,0.006932189,-0.015543607,-0.017262798,-0.005316206,0.00396402,0.010699453,0.004829268,0.00403623,-0.003554088,-0.003926093,-0.003587804,5.72E-05,0.000952696,-3.06E-05,-5.03E-05,-0.001837697,0.001078323,-0.000283342,0.000102838,-5.68E-05,5.34E-06,-2.35E-06,-1.30E-05,-0.000115936,-6.48E-06,-0.000231388,0.006189478,0.016534667,0.202390793,0.031771348,0.046379349,0.037263233,0.025023631,0.007142459,1.713690228,0.652291182,0.563462318,0.560175305,0.360793664,0.245292728,0.361325167,0.238092279,0.204878018,0.210572218,0.18130658,0.17517548,0.164436698,0.001366455,0.001874622,0.07263532,0.012408622,0.022950062,0.004258978,0.093920767,0.000234115,0.000263893,0.000750977,0.016682821,0.000567984,0.026286941,0.006457072,0.014915587,0.294660585,0.044603149,0.064360959,0.044252464,0.031503728,0.005457638,2.037506304,0.69912474,0.552401609,0.487895792,0.34504468,0.30911174,0.461850542,0.285577394,0.212979684,0.257629376,0.218670726,0.200099643,0.214191079,0.001903379,0.00241605,0.085614313,0.011493674,0.032480714,0.004274652,0.128618449,0.000242616,0.000351537,0.001064861,0.023427658,0.000641923,0.032182502,split_data\turtledove\Streptopelia-turtur-103187_chunk_1.wav
5,0.011833031,0.024648857,2.711367477,0.085408479,0.171184197,0.039823898,0.033259434,0.01292196,-27.65951118,2.602501736,-0.222654192,-0.726934272,-0.434258748,0.308170579,0.833272708,0.453249093,0.107129027,-0.310265735,-0.096333833,0.073899322,0.136664092,0.002326351,0.004738247,0.037177572,0.015871127,0.050974296,0.005043919,0.186286057,0.000222497,0.000258688,0.000628754,0.004054495,0.000665592,0.058209054,-9.07E-05,-0.000313689,0.004674089,-8.68E-05,-0.000112844,3.07E-06,0.001159168,-0.000217786,-0.019030274,-0.012557023,-0.001701572,0.009583747,0.005516638,-0.00507679,-0.004263098,-0.006187687,0.007626438,0.005496395,6.48E-05,0.001310903,-0.001414798,-9.91E-06,-2.10E-06,0.000253795,-0.0001219,-0.000400536,-5.46E-06,0.001972642,-6.61E-07,-4.61E-07,-9.37E-07,-4.28E-07,-2.04E-06,0.00053515,0.007911695,0.020550849,0.289615503,0.028517844,0.040174578,0.040786758,0.031407069,0.009668326,1.467385212,0.615665206,0.572738296,0.608822381,0.443381848,0.227629556,0.322818381,0.268061411,0.204338774,0.193139523,0.158113672,0.170471279,0.146211473,0.004212077,0.008134194,0.02913688,0.017283054,0.037723797,0.00797134,0.134535038,0.00028175,0.000251265,0.000559365,0.005795781,0.000911124,0.030798939,0.008392188,0.020418896,0.393855066,0.036417731,0.053627278,0.041295725,0.033107639,0.008133305,1.475514372,0.57849461,0.466290661,0.461623437,0.394434558,0.263578601,0.358672886,0.257930736,0.254927271,0.215545808,0.178191941,0.206467229,0.184216028,0.005112074,0.008959131,0.042184257,0.018699369,0.055218777,0.010018803,0.154634891,0.000345374,0.000310394,0.000773215,0.007834851,0.001171957,0.034426244,split_data\turtledove\Streptopelia-turtur-103187_chunk_2.wav
6,0.012903811,0.01696651,2.767157497,0.086763289,0.168214296,0.068313808,0.02433049,0.009673321,-28.05284401,2.460780085,0.146124826,-0.389129194,-0.217784815,0.401023427,0.849992115,0.380732007,0.107808627,-0.206767343,-0.06010078,0.144894809,0.121347343,0.001318145,0.001918858,0.047363356,0.008772325,0.044516505,0.004115295,0.182526078,0.000284733,0.000304934,0.000965415,0.041719251,0.000395684,0.058546491,0.000204174,0.000118401,-0.004725508,0.000869576,0.000936071,0.000585646,0.000263202,0.000245009,0.04488272,-0.000973623,-0.024976484,-0.013017265,0.004690162,-0.003832085,0.005220457,-0.003150222,-0.001063525,-0.003395132,-0.002892122,-0.002219645,0.003677614,3.60E-05,1.28E-05,-0.000749589,9.95E-05,0.000271453,0.000117951,-0.001787741,2.42E-05,8.20E-06,4.67E-06,3.71E-06,5.13E-06,-0.000453737,0.009750569,0.012700148,0.252694201,0.029025439,0.044127953,0.063228494,0.019224275,0.00722622,1.614216688,0.579821109,0.567898138,0.485661474,0.39900142,0.242034011,0.415709365,0.251951253,0.194204064,0.224981181,0.178459585,0.177624171,0.15219584,0.001330497,0.001969221,0.035659036,0.012451527,0.032952587,0.005692594,0.106508693,0.000457787,0.000296733,0.000961623,0.027811027,0.000382078,0.023663066,0.009030154,0.010927497,0.338282661,0.035759101,0.058542316,0.059907814,0.024768459,0.006638311,1.406036084,0.633155497,0.535891482,0.421319253,0.509878628,0.267206529,0.481544674,0.266801731,0.236032627,0.23978144,0.200319021,0.219680557,0.175452316,0.001519167,0.00209939,0.048559322,0.012913859,0.041150061,0.005527268,0.134089631,0.000472817,0.000378547,0.001162649,0.029808261,0.000477843,0.027830789,split_data\turtledove\Streptopelia-turtur-103187_chunk_3.wav
7,0.014373866,0.040011745,2.671453979,0.079522765,0.162875461,0.029424472,0.022030605,0.01907441,-26.41118421,2.88570788,-0.469422557,-0.914107333,-0.719169649,0.415825199,0.927367963,0.438129626,0.062019904,-0.271319686,-0.110231447,0.142845465,0.220317463,0.003026549,0.005635397,0.037850687,0.026431111,0.040832305,0.011766267,0.148908508,0.000528799,0.000454438,0.000683878,0.006668595,0.001284792,0.048797099,0.00011343,-0.000160391,0.00250067,0.000171301,3.53E-05,0.00126495,0.000161263,-9.07E-06,-0.022166885,-0.014422822,0.019946709,0.014236992,-0.007379951,0.002505846,-0.005873551,0.004948065,-0.007340821,0.00269062,0.00159055,0.002972961,0.002091882,-1.15E-05,-3.14E-06,-0.000103732,-0.000571522,0.000455214,-3.18E-06,0.000973013,-2.27E-06,1.78E-06,7.92E-06,0.000146185,3.11E-06,0.00021835,0.00732764,0.034156244,0.302080096,0.028803025,0.04210455,0.034765384,0.017260685,0.011453828,1.832257585,0.609897687,0.786229712,0.639024316,0.412226349,0.214861976,0.334190796,0.276486441,0.217911756,0.222472352,0.190931832,0.153698472,0.167244796,0.00354493,0.010177719,0.026973433,0.030841174,0.024730198,0.0139221,0.123653377,0.00066417,0.000377026,0.000677235,0.008441243,0.002230673,0.027138996,0.006893817,0.028605294,0.402788144,0.0380537,0.055659683,0.043253251,0.021953371,0.011421406,1.666523653,0.7015564,0.539515761,0.431088877,0.441678981,0.250821122,0.42123513,0.271583998,0.249777292,0.253647663,0.198793856,0.20375594,0.190442112,0.004384512,0.01225007,0.036913092,0.028901076,0.030575313,0.014428817,0.10196822,0.000779104,0.000522445,0.000917139,0.010859358,0.003053423,0.023720893,split_data\turtledove\Streptopelia-turtur-103187_chunk_4.wav
8,0.032592257,0.017427504,2.809282602,0.078343013,0.131001219,0.108005807,0.017350281,0.041586005,-27.4537168,1.162537039,-0.100402009,-0.133713286,-1.252364272,0.756449376,0.74918662,0.328142138,0.097291553,-0.243543622,-0.249640806,0.311096635,-0.108165788,0.002866279,0.00505014,0.026331695,0.01427967,0.039168888,0.004693288,0.132893819,0.000500607,0.00082205,0.00284262,0.004049518,0.002600862,0.043072163,-0.000821738,3.89E-05,-0.006034198,-0.001407755,-0.000326731,-0.004114456,0.000574616,-0.001028433,-0.069859652,0.047142316,0.009911224,-0.017790259,0.000585876,-0.007528914,0.008219151,0.000157801,0.008573499,-0.011477202,-0.005129526,0.007993417,0.000367435,-3.98E-05,-9.37E-06,-0.000104118,-1.93E-05,0.002084137,-1.20E-05,-0.001346764,-6.92E-06,-2.59E-05,-0.000102305,-0.000113194,-2.89E-05,-0.000102365,0.023508275,0.017457047,0.32129578,0.021561218,0.04515018,0.120418384,0.011293982,0.034734454,2.192424508,1.352126582,0.499796285,0.675888388,0.597544415,0.293515356,0.292498859,0.268089765,0.216161869,0.206700818,0.178391082,0.24359777,0.23962578,0.002645415,0.007529957,0.020686588,0.017118126,0.03130578,0.006974812,0.119942842,0.000662001,0.000971713,0.005447255,0.005233923,0.003584583,0.028638601,0.015842801,0.015250111,0.363298356,0.025871271,0.04755956,0.108374934,0.014273724,0.024656034,1.408647646,0.910815658,0.599645647,0.50263933,0.488224872,0.284625593,0.326068078,0.291609496,0.251018908,0.29893627,0.208162831,0.28681798,0.28620117,0.003261394,0.00925027,0.027127938,0.01598362,0.038364617,0.007844167,0.10758904,0.000826703,0.001242806,0.007066257,0.007591269,0.00424778,0.023759559,split_data\turtledove\Streptopelia-turtur-103187_chunk_5.wav
9,0.021263026,0.017375543,2.848542445,0.069126971,0.138509638,0.022616838,0.011416207,0.027575,-25.7545121,3.526581236,-1.499140749,-0.408131512,-0.448106485,-0.167484752,0.326662027,0.151457824,-0.289154685,-0.18533384,0.019927434,0.161275688,0.022626487,0.010203395,0.007250139,0.022511864,0.0215537,0.024582052,0.022774361,0.045316705,0.005319859,0.006088867,0.008321926,0.011617659,0.005483918,0.019081913,-5.42E-05,0.000138076,0.005594997,0.000187474,0.00032737,-2.91E-05,8.55E-05,4.17E-05,0.021611797,0.000852498,0.000549787,-0.010684127,-0.003926138,0.006612089,0.005150968,-0.000338053,-0.005874976,-0.002462907,-0.00231358,-0.000562792,0.000246506,9.38E-07,-1.11E-06,0.000250868,0.000186539,0.000439527,0.000164523,-0.001584658,9.65E-06,2.11E-05,-0.000161775,-0.000171917,4.54E-05,-0.000280483,0.00288455,0.015056778,0.336814864,0.024611577,0.043892485,0.015137726,0.006011068,0.00521267,0.76833584,0.44460907,0.337209463,0.499706506,0.223363144,0.310729789,0.227252535,0.187569761,0.212431193,0.191113622,0.156074572,0.166937922,0.171363249,0.011921503,0.007339383,0.014503361,0.016860369,0.019030952,0.01982117,0.025986156,0.005044165,0.005923405,0.009172974,0.011126518,0.005308355,0.006813101,0.003643206,0.011186946,0.30405483,0.035122751,0.064004892,0.019015061,0.008297196,0.005803628,0.675602857,0.62972467,0.40546624,0.322352432,0.280325436,0.252600741,0.201680192,0.232709461,0.234926181,0.208751394,0.193727011,0.209747564,0.220600022,0.014580453,0.010073118,0.017379282,0.021852421,0.023416851,0.021466807,0.029165705,0.005877713,0.007250367,0.009971099,0.01332328,0.006221007,0.009424349,split_data\turtledove\Streptopelia-turtur-106999_chunk_0.wav
