,zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std,clip
0,0.127553147,0.002451429,2.642475957,0.166425642,0.118784722,0.932966192,0.005448575,0.1783,-33.41575704,-0.152992112,0.580387064,-0.676305647,-0.615917784,-0.443823849,-0.346772998,-0.054295631,-0.158270227,-0.084089085,-0.031521152,0.169404498,-0.111990607,0.005047135,0.003604344,0.00562271,0.004191901,0.005353206,0.005965226,0.006365072,0.003033226,0.005948726,0.005180939,0.003903017,0.003811999,0.004063256,0.000608587,6.20E-05,-0.015938339,0.00060559,-0.000691794,-0.00177239,8.20E-05,0.0007,0.005415655,-0.014529188,0.013917274,-0.011201076,0.010554124,-0.000675758,-0.001932265,0.007174062,0.002092959,-0.003442755,0.003053923,0.00170858,0.00177486,-1.49E-05,9.30E-06,-5.13E-05,1.82E-05,-4.98E-07,6.78E-06,-4.03E-05,-8.55E-05,-0.00017651,-8.38E-05,-0.000132348,-0.000142633,-3.83E-05,0.029661338,0.004601976,0.789578346,0.035643966,0.029587441,0.37746416,0.004155134,0.045238047,0.825318953,0.748862822,0.478073838,0.453206994,0.251283271,0.294904784,0.248850306,0.281531141,0.287241346,0.211471023,0.177587228,0.23123276,0.154802204,0.006013243,0.00357448,0.006811909,0.003980547,0.005064303,0.005502433,0.005762935,0.00327022,0.00634281,0.005375224,0.004482858,0.00458773,0.002311434,0.028095128,0.005881281,0.808209154,0.033916341,0.032022993,0.475760049,0.004979342,0.040642538,0.656910296,0.719129464,0.493760897,0.48275165,0.266611431,0.347694165,0.249924786,0.290981326,0.307470681,0.261219789,0.245996335,0.294873306,0.220505372,0.00691215,0.004361754,0.009434385,0.004743754,0.006706958,0.006468244,0.007191223,0.003746443,0.008123455,0.006968466,0.005600458,0.005946147,0.002732524,split_data\yellowhammer\Emberiza-citrinella-101137_chunk_0.wav
1,0.30862069,0.001197568,3.140290181,0.338301583,0.187875972,2.189835256,0.001927164,0.526887477,-39.45120018,-2.817174779,1.565979268,-0.632816105,-0.250780671,0.497345503,-0.528712839,0.097698754,0.085964631,-0.282998705,0.157271718,-0.084309397,-0.139432703,0.001400646,0.001366013,0.0019732,0.001581809,0.001610722,0.001646029,0.00219692,0.002800323,0.000961372,0.000840483,0.001278236,0.000997451,0.001581871,0.001293103,-9.03E-08,0.013748285,0.001314746,-0.00013033,0.013271788,9.09E-06,0.003176044,-0.0633668,-0.04060399,0.00954101,-0.006963599,-0.006467318,-0.001919196,0.002305006,0.000976831,-0.000817166,0.003869706,0.00231235,-0.001966762,-1.00E-04,-0.000185861,-2.29E-05,-0.000299284,-0.000121074,-0.000213271,-6.59E-05,-0.00024805,1.39E-06,-2.32E-05,-0.000139795,-0.000243408,-2.28E-05,-9.57E-05,0.041367064,0.004357112,0.287485363,0.025440323,0.016541738,0.575052698,0.001398929,0.102611117,1.456956134,0.643643326,0.325677016,0.253955367,0.211573835,0.169618725,0.215937205,0.15991445,0.133372662,0.167207079,0.151125383,0.151497933,0.156249989,0.001490852,0.000967569,0.002800862,0.001663875,0.001908687,0.001598074,0.003100887,0.003363525,0.000818245,0.001132842,0.002282134,0.000926585,0.001400519,0.045949942,0.005757839,0.370018558,0.024232116,0.014949166,0.559374032,0.001446366,0.101449029,1.489966936,0.69559252,0.368577946,0.329838489,0.259161921,0.205776182,0.269154549,0.198037556,0.179740949,0.202166439,0.197817753,0.203660837,0.206617771,0.001647148,0.001115596,0.003118568,0.002302462,0.002297626,0.002020735,0.003769299,0.00450093,0.001098114,0.001308579,0.002662653,0.001146803,0.001758195,split_data\yellowhammer\Emberiza-citrinella-102104_chunk_0.wav
2,0.282321104,0.00368045,3.06277007,0.322011855,0.182889746,1.914768661,0.003175213,0.464856106,-38.05895318,-2.684352795,1.355027119,-0.478797407,-0.381758848,0.552041693,-0.579880221,0.174346926,0.092637542,-0.346237934,0.263444449,-0.13990364,-0.063702901,0.001446856,0.004985232,0.002306908,0.001398343,0.001160142,0.00129568,0.001044507,0.001015232,0.000610516,0.000681081,0.000500631,0.000710501,0.001973139,-0.00112782,-0.000103523,0.009115399,-0.000251524,0.001225937,0.014409165,0.000104139,-0.001944516,-0.015271213,-0.007799153,0.019542118,0.001424781,-0.020684847,0.005743895,-0.027448288,0.005582672,0.010438959,-6.11E-05,0.019487628,-0.003869782,-0.008439953,5.94E-05,5.02E-05,0.000310967,-1.03E-05,-3.01E-05,-2.62E-05,7.90E-06,-2.02E-05,-2.07E-05,-7.18E-05,-1.45E-05,-6.07E-06,4.25E-05,0.048759134,0.006975075,0.265636076,0.031890502,0.025304611,0.763981003,0.003088038,0.139806618,2.391645798,0.90294659,0.455175535,0.295984783,0.297495284,0.261354948,0.296064269,0.166979568,0.16864794,0.217701973,0.194094027,0.128523829,0.106255629,0.001185642,0.007104177,0.003154967,0.001075241,0.001239948,0.00111367,0.000875776,0.001073259,0.000604198,0.000618374,0.000438986,0.000659418,0.00193713,0.051403521,0.008565967,0.317727416,0.031999482,0.019688077,0.76756657,0.003614049,0.151463552,2.678893518,1.072620417,0.522871839,0.359377735,0.34448791,0.330865326,0.337790729,0.241981986,0.228333427,0.300728799,0.271526115,0.172896186,0.161281016,0.001409962,0.008008915,0.004180772,0.001384631,0.00153537,0.001437945,0.001216988,0.001510175,0.0008274,0.001010762,0.000567803,0.000789271,0.002304077,split_data\yellowhammer\Emberiza-citrinella-102104_chunk_1.wav
3,0.343892922,0.001807949,3.127342453,0.357256703,0.179269903,2.150223148,0.002375588,0.551025408,-41.31940194,-2.181551503,1.431953617,-1.080768098,0.449707685,-0.152851952,-0.227292084,0.276041475,-0.319861247,0.203309254,-0.102752563,-0.036654392,0.107888239,0.001012755,0.001038097,0.001071631,0.00102683,0.00176462,0.001989973,0.001816503,0.001362744,0.000884032,0.001020657,0.001058741,0.000798003,0.001164885,0.002114338,-1.14E-07,0.016946849,0.001711984,-0.00025737,0.012448632,8.86E-06,0.004718693,-0.103559392,-0.040498684,0.009814924,-0.015862429,0.000586916,-0.005927213,-0.004400239,0.011560945,-0.005313405,0.002290447,0.00063596,-0.000402413,-0.001629072,-0.000143562,-2.83E-07,-0.000369555,-0.000106907,-0.000228323,-4.78E-05,-0.000363949,-9.73E-06,-3.71E-05,-0.000123612,-0.000233832,-4.45E-05,-0.000115083,0.052447871,0.005779937,0.318363369,0.040513855,0.022840243,0.747510608,0.002858293,0.137326527,2.333559814,0.704036242,0.398586242,0.399433561,0.195179595,0.164399631,0.180760935,0.188536881,0.193962695,0.150640968,0.14468403,0.150990323,0.143984506,0.001229458,0.000907369,0.002297513,0.001132409,0.00212389,0.002197952,0.002833302,0.001791964,0.000662178,0.001252484,0.001575426,0.000669648,0.001254986,0.042616431,0.006708817,0.344066892,0.033435525,0.020613757,0.556543496,0.002532892,0.119293678,2.256199111,0.804694389,0.446879679,0.458696061,0.271132623,0.226280942,0.22487338,0.220999886,0.248916434,0.206412637,0.210417252,0.218812978,0.199788982,0.001371227,0.001032843,0.002616614,0.001305824,0.002654859,0.003024562,0.003218347,0.002652376,0.000797442,0.001498353,0.001652366,0.000755363,0.001332537,split_data\yellowhammer\Emberiza-citrinella-102105_chunk_0.wav
4,0.122817604,0.004494159,3.16209216,0.160871433,0.135722182,1.255845766,0.002386063,0.193911071,-25.44825945,0.685104986,0.492914786,-0.016623335,0.167265073,0.048362493,-0.032817382,0.08084459,-0.006901842,-0.032390133,0.009680869,-0.085819465,-0.014452137,0.009382013,0.004224508,0.015494634,0.008298026,0.013489361,0.006768357,0.012793621,0.0034453,0.005427522,0.011511332,0.009029475,0.004732924,0.006383295,0.000381125,2.09E-05,0.014924009,-0.000408309,-0.000510994,-0.002372797,2.09E-05,9.07E-06,0.117403151,0.009536523,-0.0031394,-0.000133288,-0.002834563,0.001044325,0.004432307,0.002604566,0.005283173,-0.002949634,-0.001072296,0.001309888,-0.002505211,0.00027004,6.82E-05,6.03E-05,-7.09E-05,3.42E-05,-2.80E-05,5.26E-05,-3.28E-05,2.27E-05,0.000170122,-7.68E-06,3.14E-05,4.82E-05,0.016512401,0.004851261,0.241461279,0.015127943,0.013991562,0.224441182,0.001131628,0.034400521,0.783744996,0.296266554,0.253150648,0.238800284,0.203646644,0.197230838,0.207425175,0.148381773,0.148824546,0.149264821,0.159413351,0.139522717,0.151707827,0.006196229,0.002606159,0.010271008,0.006163869,0.009254713,0.004472124,0.007203111,0.002375707,0.003303302,0.007198783,0.005412807,0.002928329,0.002558114,0.021863617,0.006090426,0.298311886,0.018469656,0.018389371,0.279673571,0.001351286,0.039607144,0.444603801,0.333970129,0.292878386,0.309223759,0.252583906,0.26435496,0.273610341,0.211522459,0.202183368,0.200133914,0.216362674,0.192922563,0.223108308,0.008126001,0.003519341,0.012803826,0.009003015,0.012075317,0.006078442,0.009614464,0.003567207,0.004632539,0.009634306,0.007431649,0.003799095,0.003471115,split_data\yellowhammer\Emberiza-citrinella-109674_chunk_0.wav
5,0.119205989,0.007347007,3.241063718,0.159254607,0.141648827,1.302519741,0.001904295,0.200989111,-23.67671243,0.868319959,0.346287398,0.088114581,0.113226796,0.105286407,-0.06246676,0.083841785,0.002558373,-0.016081294,0.028210614,-0.037314831,0.016206949,0.011151217,0.005550789,0.019472198,0.009905726,0.01794674,0.008685938,0.015380365,0.003070656,0.005605859,0.011191583,0.010295979,0.00480284,0.007795622,-0.000140653,-3.01E-06,-0.000246256,0.000132695,0.000355145,-0.002239193,2.64E-05,0.000181488,-0.001937783,0.004954133,0.001266576,0.005062575,0.0006015,0.002370524,-0.00425778,0.000183525,0.001796213,0.001395158,0.000412835,-0.001208023,-0.001322188,6.61E-05,-6.43E-05,0.000446301,-6.97E-05,0.000125443,-9.23E-05,-4.56E-05,1.15E-05,-1.15E-05,0.000109587,0.000129947,-2.24E-05,0.000101448,0.015051224,0.002945577,0.093261713,0.008903948,0.011711336,0.121981005,0.000529639,0.029031362,0.193373648,0.217514273,0.22906828,0.172435893,0.166536218,0.158971435,0.159421656,0.150267561,0.162394368,0.158642167,0.141729945,0.146845431,0.140506753,0.007845095,0.003529151,0.011730995,0.006232559,0.010135898,0.00505226,0.008695064,0.002038351,0.003348879,0.006028956,0.005098871,0.002541026,0.002790317,0.019035292,0.003468276,0.127013234,0.011958064,0.014534359,0.147246267,0.00059571,0.035266141,0.253983297,0.263336016,0.268243762,0.238299235,0.223357151,0.242215132,0.219019848,0.202298161,0.216906708,0.214962824,0.205424109,0.202624399,0.19832064,0.010496055,0.005014854,0.01581806,0.008623804,0.014576434,0.006899961,0.012794142,0.002736161,0.004798581,0.00893623,0.006849793,0.003567454,0.003882509,split_data\yellowhammer\Emberiza-citrinella-109674_chunk_1.wav
6,0.203738657,0.004551118,3.054621443,0.229904167,0.127409812,1.350261004,0.005092522,0.263901996,-36.5271872,-3.17268072,-0.666153538,-0.180008352,0.500992475,0.149842261,0.00919925,-0.147136826,-0.080309697,0.067528816,0.069586497,-0.057167743,-0.011230348,0.001312554,0.001297252,0.001326942,0.001745038,0.001842538,0.00309013,0.002392114,0.002057954,0.002160682,0.001473826,0.00149764,0.001327482,0.001733399,0.000716878,9.60E-08,0.019939349,6.46E-05,2.01E-05,-0.000366838,1.25E-05,-0.000190563,0.004430379,-0.025458667,-0.014030536,-0.000841361,0.003579766,0.003647201,-0.001281391,0.001262251,-0.00102613,-0.004705043,0.000343263,0.002754511,-0.000748502,1.17E-05,-5.92E-06,6.52E-07,2.45E-05,5.51E-07,-2.28E-07,-3.24E-06,-5.54E-05,-1.22E-05,-4.38E-06,-2.22E-05,1.72E-05,-1.47E-05,0.012439016,0.008611681,0.324272179,0.009952948,0.015347824,0.270299226,0.00425985,0.012630303,1.18919318,0.956851892,0.512138962,0.181738122,0.167446385,0.142450326,0.114130241,0.09908261,0.11555431,0.103399582,0.111625955,0.105667047,0.11553667,0.000934529,0.000926678,0.000964932,0.001373231,0.001904259,0.003985201,0.00164378,0.00165512,0.002265314,0.001047016,0.001202941,0.001022204,0.001161081,0.012478655,0.009877905,0.41847318,0.011361778,0.020458622,0.204282338,0.003628894,0.015384268,1.108720646,0.940912337,0.578259983,0.254487214,0.192992804,0.17993742,0.161023206,0.139021555,0.153911076,0.137260369,0.156141532,0.145848547,0.167398692,0.001236061,0.001049277,0.001298085,0.002071097,0.002738412,0.004350809,0.002629876,0.002095028,0.003141046,0.001359447,0.001727857,0.001427613,0.001417927,split_data\yellowhammer\Emberiza-citrinella-112896_chunk_0.wav
7,0.206569873,0.011218345,2.97744893,0.231945235,0.127577445,1.07945204,0.010310642,0.248511797,-35.2655459,-2.79288891,-0.454032741,-0.221965054,0.449381394,0.053417127,0.05518259,-0.098957432,-0.058871062,-0.000395228,0.069531349,-0.035686755,-0.005322716,0.000982824,0.001117934,0.002459809,0.002024916,0.002478074,0.001437299,0.002892517,0.001279609,0.000973023,0.000842231,0.000914253,0.0013013,0.001953828,-9.53E-05,-8.69E-08,-0.000166783,-3.30E-05,-3.01E-05,-0.000245272,1.44E-05,2.72E-05,0.006679495,0.015816975,0.005946342,0.002250234,0.002289829,-0.002662413,-0.002109685,-0.003831815,0.003355136,0.003318248,-0.000559955,-0.002355083,-0.0003063,5.88E-06,-1.31E-05,2.94E-06,-5.94E-06,1.04E-05,2.87E-06,-2.73E-05,-4.51E-06,1.02E-05,6.31E-06,5.56E-05,2.45E-05,3.30E-06,0.012088551,0.013966655,0.341077001,0.016257011,0.022340818,0.375107846,0.00729149,0.022993566,1.290264688,0.940066237,0.488672867,0.203051046,0.191034021,0.171862155,0.134898085,0.12572381,0.131120835,0.112549403,0.10279998,0.10500808,0.092522145,0.000861302,0.001036084,0.003912269,0.002448738,0.002756158,0.001078023,0.003933166,0.001428727,0.000755641,0.00064572,0.000745927,0.001366362,0.001666884,0.016491639,0.016176512,0.403638374,0.023680207,0.029445039,0.428429906,0.00843915,0.029322338,1.215653326,1.16954504,0.572787022,0.288560514,0.262502606,0.225422306,0.191578395,0.186753185,0.178335479,0.157781861,0.146322602,0.15688504,0.132383694,0.001173136,0.001281878,0.005415837,0.003783239,0.003938233,0.001314923,0.005422672,0.002014534,0.000983582,0.000766131,0.000942047,0.001879745,0.002476243,split_data\yellowhammer\Emberiza-citrinella-112896_chunk_1.wav
8,0.200816697,0.008079349,3.051594123,0.228644382,0.13357602,1.388724567,0.006475064,0.264637024,-36.20686905,-2.908138643,-0.749189938,-0.190289111,0.483248213,0.082275908,0.06079113,-0.129734323,-0.045572503,0.05354503,0.057667045,-0.060451193,-0.015013308,0.001751831,0.001924769,0.001535189,0.002272841,0.001800822,0.00192132,0.003716582,0.001874432,0.001502982,0.001479185,0.001485885,0.001619654,0.001685739,0.000245009,0.000617053,-0.001127466,0.000310037,4.14E-05,-0.015820042,0.000121319,-0.000399274,0.064760138,0.020442076,0.006853011,-0.003616164,-0.004970357,0.00141264,0.002653778,-0.000781366,-0.000189106,-0.000921675,0.000479869,0.000465492,0.001516366,-4.28E-05,-2.30E-05,-1.02E-05,-1.51E-05,1.58E-06,-3.91E-05,-1.61E-05,-2.58E-05,-2.77E-05,-6.43E-06,-7.26E-06,-5.78E-06,-4.63E-06,0.009633867,0.006022121,0.297055258,0.010997057,0.016911898,0.301602896,0.005105469,0.017610281,0.980614066,0.772055781,0.494494267,0.245203228,0.184190331,0.183758847,0.147899792,0.123378961,0.120222346,0.115507863,0.103531259,0.10292317,0.104725239,0.001159462,0.001486282,0.001180071,0.002207114,0.001337549,0.001303003,0.00564634,0.00137712,0.000988703,0.000961898,0.000890145,0.001101256,0.00158808,0.012830964,0.0080848,0.361195503,0.015605363,0.021101688,0.299021577,0.006434638,0.019236518,1.169000767,0.990843887,0.646235757,0.309001137,0.250693444,0.254844819,0.190380689,0.175035088,0.170905485,0.181538884,0.152877726,0.145767696,0.15302122,0.001702323,0.002004483,0.001818644,0.003287269,0.001727396,0.00152088,0.007271813,0.00179177,0.001283465,0.00131988,0.001291773,0.001496334,0.001974888,split_data\yellowhammer\Emberiza-citrinella-112896_chunk_2.wav
9,0.196774047,0.010822377,3.235121251,0.225713257,0.132753353,1.481326183,0.002922838,0.260235935,-34.86913601,-3.609759486,-0.824504889,-0.201207611,0.452033414,0.116432111,0.056331494,-0.123098396,-0.113068872,0.041788619,0.032621625,0.018164933,0.007405467,0.001445119,0.001511612,0.001959847,0.001578563,0.003237622,0.00203032,0.002560216,0.00176486,0.001414476,0.001542772,0.001468013,0.001719687,0.001504568,-0.000163339,-0.002069757,-0.000188682,0.00056891,0.00257029,0.021974593,1.08E-05,-0.000852995,-0.102945356,-0.112214265,-0.080583195,0.01102375,0.022555295,0.002833128,0.000882827,-0.017175669,0.018130511,-0.005972792,-0.011685886,0.017959592,0.004392803,0.000132657,0.000127184,0.000217486,4.47E-05,-9.12E-05,-6.10E-05,-1.26E-05,-0.000199102,-0.000129901,5.25E-05,3.53E-05,0.00035754,-5.15E-05,0.006705004,0.014675232,0.07557022,0.006726632,0.014076523,0.197047721,0.001475256,0.013702229,0.932985785,0.76339609,0.409290232,0.238117433,0.14458852,0.123582372,0.128689265,0.114025345,0.106211705,0.112834194,0.088970724,0.106620448,0.108365216,0.000720086,0.00095306,0.002317118,0.000755539,0.002765123,0.001046662,0.002086432,0.001126067,0.000705732,0.000977672,0.000971227,0.00085681,0.00087163,0.00966527,0.007165007,0.103084365,0.009395371,0.017541647,0.203353398,0.001552377,0.016178088,0.948722455,0.923452312,0.578697072,0.314360843,0.169366231,0.161000482,0.19976393,0.155873113,0.156277075,0.166348353,0.146151536,0.128068954,0.146938689,0.000879466,0.001529394,0.003249171,0.000937564,0.003190824,0.001658797,0.002933985,0.001525511,0.001006105,0.001334412,0.001413422,0.001064833,0.001246079,split_data\yellowhammer\Emberiza-citrinella-112896_chunk_3.wav
